package_name,category_of_package,cities_to_be_visit,count_of_cities,categories_by_days,no_of_nights,no_of_days,categories_by_price,accommodation_facility,price,tokenized_cities_to_be_visit,tokenized_package_name
"blissful hills: bangalore with mysore, coorg & wayanad",holiday_package,"bangalore ,   coorg ,   wayanad ,   mysore",4,medium trip,5,6,standard,3-star hotel,20450.0,"['bangalore', 'coorg', 'wayanad', 'mysore']","['Blissful', 'Hills', 'Bangalore', 'with', 'Mysore', 'Coorg', 'Wayanad']"
"charming getaway: bangalore, mysore, ooty & kodaikanal",holiday_package,"bangalore ,  mysore ,  ooty ,  kodaikanal",4,medium trip,6,7,standard,3-star hotel,25335.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Charming', 'Getaway', 'Bangalore', 'Mysore', 'Ooty', 'Kodaikanal']"
"best of hills & heritage: bangalore, chikmagalur, hampi & more",cultural_package,"bangalore ,   mysore ,   chikmagalur ,   hampi",4,medium trip,6,7,standard,3-star hotel,16559.0,"['bangalore', 'mysore', 'chikmagalur', 'hampi']","['Best', 'of', 'Hills', 'Heritage', 'Bangalore', 'Chikmagalur', 'Hampi', 'More']"
southern karnataka temple trail from bangalore,cultural_package,"bangalore ,   hassan ,   mysore ,   ooty",4,long trip,7,8,premium,4-star hotel,35800.0,"['bangalore', 'hassan', 'mysore', 'ooty']","['Southern', 'Karnataka', 'Temple', 'Trail', 'from', 'Bangalore']"
picturesque hills from banaglore tour package,holiday_package,"bangalore ,   mysore ,   ooty ,   kodaikanal",4,medium trip,6,7,standard,3-star hotel,24559.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Picturesque', 'Hills', 'from', 'Banaglore', 'Tour', 'Package']"
"quintessentially karnataka: bangalore, coorg & more",holiday_package,"bangalore ,   mysore ,   coorg ,   mangalore ,   chikmagalur",5,long trip,8,9,premium,4-star hotel,38999.0,"['bangalore', 'mysore', 'coorg', 'mangalore', 'chikmagalur']","['Quintessentially', 'Karnataka', 'Bangalore', 'Coorg', 'More']"
"hills & heritage of karnataka & tamilnadu: ooty, kodaikanal, mysore & more",cultural_package,"bangalore ,   mysore ,   ooty ,   kodaikanal",4,medium trip,5,6,standard,3-star hotel,19000.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Hills', 'Heritage', 'of', 'Karnataka', 'Tamilnadu', 'Ooty', 'Kodaikanal', 'Mysore', 'More']"
ooty  kodaikanal romantic honeymoon package,honeymoon_package,"bangalore ,   ooty ,   kodaikanal",3,medium trip,4,5,standard,3-star hotel,16000.0,"['bangalore', 'ooty', 'kodaikanal']","['Ooty', 'Kodaikanal', 'Romantic', 'Honeymoon', 'Package']"
weekend at dhole's den bandipur,weekend_package,"bangalore ,   bandipur-national-park ,   bangalore",3,short trip,2,3,budget,low-cost apartment,7000.0,"['bangalore', 'bandipurnationalpark', 'bangalore']","['Weekend', 'At', 'Dholes', 'Den', 'Bandipur']"
super saver bandipur wildlife escape,nature_package,bandipur-national-park,1,short trip,2,3,budget,low-cost apartment,15000.0,['bandipurnationalpark'],"['Super', 'Saver', 'Bandipur', 'Wildlife', 'Escape']"
nepal family adventure tour package: rafting & hiking,family_package,"kathmandu ,   bandipur ,   pokhara ,   kathmandu",4,medium trip,6,7,standard,3-star hotel,25500.0,"['kathmandu', 'bandipur', 'pokhara', 'kathmandu']","['Nepal', 'Family', 'Adventure', 'Tour', 'Package', 'Rafting', 'Hiking']"
"weekend at kaav safari lodge, kabini",weekend_package,"bangalore ,   kabini",2,short trip,2,3,standard,serviced apartment,25767.0,"['bangalore', 'kabini']","['Weekend', 'At', 'Kaav', 'Safari', 'Lodge', 'Kabini']"
weekend at the serai kabini,weekend_package,"bangalore ,   kabini",2,short trip,2,3,standard,serviced apartment,22073.0,"['bangalore', 'kabini']","['Weekend', 'At', 'The', 'Serai', 'Kabini']"
weekend at evolve back kabini,weekend_package,"bangalore ,   kabini",2,short trip,2,3,premium,premium serviced apartment,36756.0,"['bangalore', 'kabini']","['Weekend', 'At', 'Evolve', 'Back', 'Kabini']"
weekend at red earth kabini,weekend_package,"bangalore ,   coorg",2,short trip,2,3,standard,serviced apartment,19672.0,"['bangalore', 'coorg']","['Weekend', 'At', 'Red', 'Earth', 'Kabini']"
"weekend at the peepal tree, kabini",weekend_package,"bangalore ,   coorg",2,short trip,2,3,budget,low-cost apartment,14000.0,"['bangalore', 'coorg']","['Weekend', 'At', 'The', 'Peepal', 'Tree', 'Kabini']"
weekend at waterwoods lodge kabini,weekend_package,"bangalore ,   coorg",2,short trip,2,3,standard,serviced apartment,15444.0,"['bangalore', 'coorg']","['Weekend', 'At', 'Waterwoods', 'Lodge', 'Kabini']"
"extensive karnataka tour package: chikmagalur, kudremukh, mangalore & more",holiday_package,"bangalore ,   mysore ,   chikmagalur ,   kudremukh ,   mangalore",5,long trip,8,9,premium,4-star hotel,35999.0,"['bangalore', 'mysore', 'chikmagalur', 'kudremukh', 'mangalore']","['Extensive', 'Karnataka', 'Tour', 'Package', 'Chikmagalur', 'Kudremukh', 'Mangalore', 'More']"
verdant lands of aihole,holiday_package,aihole,1,medium trip,3,4,budget,budget hotel,4100.0,['aihole'],"['Verdant', 'Lands', 'of', 'Aihole']"
kerala houseboat package -1 night stay in houseboat,holiday_package,"kochi ,   munnar ,   alleppey",3,medium trip,3,4,budget,budget hotel,14300.0,"['kochi', 'munnar', 'alleppey']","['Kerala', 'Houseboat', 'Package', '1', 'Night', 'Stay', 'in', 'Houseboat']"
kerala munnar tour package with thekkady,holiday_package,"kochi ,   munnar ,   thekkady ,   alleppey",4,medium trip,4,5,standard,3-star hotel,21000.0,"['kochi', 'munnar', 'thekkady', 'alleppey']","['Kerala', 'Munnar', 'Tour', 'Package', 'with', 'Thekkady']"
munnar tour packages for 3 days - houseboat stay,holiday_package,"kochi  ,   alleppey ,   munnar",3,short trip,2,3,budget,low-cost apartment,11500.0,"['kochi', 'alleppey', 'munnar']","['Munnar', 'Tour', 'Packages', 'for', '3', 'Days', 'Houseboat', 'Stay']"
"5 days trip in india: alleppey, kovalam & munnar",holiday_package,"kochi  ,   munnar ,   alleppey ,   kovalam",4,medium trip,4,5,standard,3-star hotel,18900.0,"['kochi', 'munnar', 'alleppey', 'kovalam']","['5', 'Days', 'Trip', 'in', 'India', 'Alleppey', 'Kovalam', 'Munnar']"
exclusive kerala package tour with kanyakumari,holiday_package,"kochi  ,   munnar ,   thekkady ,   kovalam ,   kanyakumari ,   kovalam ,   alleppey",7,long trip,7,8,standard,standard hotel,28700.0,"['kochi', 'munnar', 'thekkady', 'kovalam', 'kanyakumari', 'kovalam', 'alleppey']","['Exclusive', 'Kerala', 'Package', 'Tour', 'with', 'Kanyakumari']"
kerala boathouse honeymoon package,nature_package,"kochi ,   munnar ,   alleppey",3,short trip,2,3,budget,low-cost apartment,10900.0,"['kochi', 'munnar', 'alleppey']","['Kerala', 'Boathouse', 'Honeymoon', 'Package']"
couple special kerala package with stay in tree house,honeymoon_package,"munnar ,   thekkady ,   alappuzha (alleppey) ,   kovalam",5,medium trip,6,7,luxury,high-end luxury resort,55000.0,"['munnar', 'thekkady', 'alappuzha', 'alleppey', 'kovalam']","['Couple', 'Special', 'Kerala', 'Package', 'with', 'Stay', 'in', 'Tree', 'house']"
best munnar tour packages,holiday_package,"kochi ,   munnar ,   alleppey ,   kovalam",4,medium trip,5,6,standard,3-star hotel,23700.0,"['kochi', 'munnar', 'alleppey', 'kovalam']","['Best', 'Munnar', 'Tour', 'Packages']"
quick honeymoon getaway to kerala,weekend_package,"kochi ,   munnar ,   thekkady ,   kumarakom",4,medium trip,4,5,budget,budget hotel,13100.0,"['kochi', 'munnar', 'thekkady', 'kumarakom']","['Quick', 'Honeymoon', 'Getaway', 'to', 'Kerala']"
munnar thekkady alleppey tour package with periyar wildlife sanctuary,nature_package,"kochi  ,   munnar ,   thekkady ,   alleppey",4,medium trip,4,5,standard,3-star hotel,19000.0,"['kochi', 'munnar', 'thekkady', 'alleppey']","['Munnar', 'Thekkady', 'Alleppey', 'Tour', 'Package', 'with', 'Periyar', 'Wildlife', 'Sanctuary']"
"kerala package holiday: vagamon, munnar, kottayam and alleppey",holiday_package,"kochi ,   munnar ,   vagamon ,   kottayam ,   alleppey",5,medium trip,5,6,standard,3-star hotel,24670.0,"['kochi', 'munnar', 'vagamon', 'kottayam', 'alleppey']","['Kerala', 'Package', 'Holiday', 'Vagamon', 'Munnar', 'Kottayam', 'and', 'Alleppey']"
wonderful kerala 6 nights honeymoon package - photoshoot in munnar,honeymoon_package,"kochi ,   munnar ,   thekkady ,   kumarakom",4,medium trip,6,7,standard,3-star hotel,27950.0,"['kochi', 'munnar', 'thekkady', 'kumarakom']","['Wonderful', 'Kerala', '6', 'Nights', 'Honeymoon', 'Package', 'Photoshoot', 'in', 'Munnar']"
kerala package itinerary with houseboat experience,holiday_package,"kochi  ,   munnar  ,   thekkady  ,   alleppey  ,   kochi",5,medium trip,5,6,standard,3-star hotel,24550.0,"['kochi', 'munnar', 'thekkady', 'alleppey', 'kochi']","['Kerala', 'Package', 'Itinerary', 'with', 'Houseboat', 'Experience']"
munnar tour package 3 nights 4 days with alleppey,holiday_package,"kochi  ,   munnar ,  alleppey",3,medium trip,3,4,budget,budget hotel,14999.0,"['kochi', 'munnar', 'alleppey']","['Munnar', 'Tour', 'Package', '3', 'Nights', '4', 'Days', 'with', 'Alleppey']"
"kerala tour package 7 nights 8 days- kochi, munnar, kumarakom and more",holiday_package,"kochi ,   munnar ,   kumarakom ,   varkala ,   trivandrum",5,long trip,7,8,standard,standard hotel,27569.0,"['kochi', 'munnar', 'kumarakom', 'varkala', 'trivandrum']","['Kerala', 'Tour', 'Package', '7', 'Nights', '8', 'Days', 'Kochi', 'Munnar', 'Kumarakom', 'and', 'More']"
"kovalam, thekkady, alleppey & munnar tour package",holiday_package,"kochi ,  munnar ,  thekkady ,  alleppey ,  kovalam",5,medium trip,6,7,standard,3-star hotel,28000.0,"['kochi', 'munnar', 'thekkady', 'alleppey', 'kovalam']","['Kovalam', 'Thekkady', 'Alleppey', 'Munnar', 'Tour', 'Package']"
kerala honeymoon packages for 3 nights 4 days - houseboat stay,honeymoon_package,"kochi ,   munnar ,   kumarakom",3,medium trip,3,4,budget,budget hotel,12000.0,"['kochi', 'munnar', 'kumarakom']","['Kerala', 'Honeymoon', 'Packages', 'for', '3', 'Nights', '4', 'Days', 'Houseboat', 'Stay']"
"kerala tour package - munnar, thekkady, alleppey & kovalam",holiday_package,"kochi  ,   munnar ,   thekkady ,   alleppey ,   kovalam",5,medium trip,6,7,standard,3-star hotel,28000.0,"['kochi', 'munnar', 'thekkady', 'alleppey', 'kovalam']","['Kerala', 'Tour', 'Package', 'Munnar', 'Thekkady', 'Alleppey', 'Kovalam']"
god's own country kerala honeymoon special,honeymoon_package,"kochi ,   munnar ,   thekkady ,   alleppey",4,medium trip,4,5,standard,3-star hotel,19100.0,"['kochi', 'munnar', 'thekkady', 'alleppey']","['Gods', 'Own', 'Country', 'Kerala', 'Honeymoon', 'Special']"
"kerala 8 days itinerary: munnar, thekkady, alleppey, kovalam & kochi",holiday_package,"kochi ,   munnar ,   thekkady ,   alleppey ,   kovalam ,   kochi",6,long trip,7,8,premium,4-star hotel,35250.0,"['kochi', 'munnar', 'thekkady', 'alleppey', 'kovalam', 'kochi']","['Kerala', '8', 'Days', 'Itinerary', 'Munnar', 'Thekkady', 'Alleppey', 'Kovalam', 'Kochi']"
munnar tour packages for family,family_package,"kochi  ,   munnar ,   thekkady ,   alleppey",4,medium trip,4,5,standard,3-star hotel,19200.0,"['kochi', 'munnar', 'thekkady', 'alleppey']","['Munnar', 'Tour', 'Packages', 'for', 'Family']"
kerala tour packages 7 days - family trip,family_package,"kochi ,   munnar ,   thekkady ,   alleppey ,   kovalam ,   trivandrum",6,medium trip,6,7,standard,3-star hotel,28000.0,"['kochi', 'munnar', 'thekkady', 'alleppey', 'kovalam', 'trivandrum']","['Kerala', 'Tour', 'Packages', '7', 'Days', 'Family', 'Trip']"
"gems of kerala - wayanad, munnar, kochi, munnar",offbeat_package,"wayanad ,   calicut ,   kochi ,   munnar ,   thekkady",5,long trip,7,8,premium,4-star hotel,31197.0,"['wayanad', 'calicut', 'kochi', 'munnar', 'thekkady']","['Gems', 'of', 'Kerala', 'Wayanad', 'Munnar', 'Kochi', 'Munnar']"
incredible kerala honeymoon package for couples,honeymoon_package,"kochi ,   munnar ,   alleppey ,   kovalam ,   trivandrum",5,medium trip,5,6,standard,3-star hotel,27000.0,"['kochi', 'munnar', 'alleppey', 'kovalam', 'trivandrum']","['Incredible', 'Kerala', 'Honeymoon', 'Package', 'for', 'Couples']"
"mesmeric kochi, munnar & guruvayur",holiday_package,"kochi ,  munnar ,  guruvayur",3,medium trip,4,5,standard,3-star hotel,18849.0,"['kochi', 'munnar', 'guruvayur']","['Mesmeric', 'Kochi', 'Munnar', 'Guruvayur']"
blissful kerala honeymoon tour package,honeymoon_package,"kochi ,   munnar ,   thekkady ,   alleppey ,   kovalam",5,medium trip,6,7,standard,3-star hotel,27400.0,"['kochi', 'munnar', 'thekkady', 'alleppey', 'kovalam']","['Blissful', 'Kerala', 'Honeymoon', 'Tour', 'Package']"
munnar 4 days itinerary - pothamedu sunset viewpoint,holiday_package,"kochi ,   munnar",2,medium trip,3,4,budget,budget hotel,14500.0,"['kochi', 'munnar']","['Munnar', '4', 'Days', 'Itinerary', 'Pothamedu', 'Sunset', 'Viewpoint']"
cheap munnar tour packages,budget_package,"alleppey ,  munnar",2,short trip,2,3,budget,low-cost apartment,12000.0,"['alleppey', 'munnar']","['Cheap', 'Munnar', 'Tour', 'Packages']"
munnar alleppey tour package with ayurvedic spa & treatment,wellness_package,"kochi ,   munnar ,   alleppey",3,medium trip,5,6,standard,3-star hotel,24000.0,"['kochi', 'munnar', 'alleppey']","['Munnar', 'Alleppey', 'Tour', 'Package', 'with', 'Ayurvedic', 'Spa', 'Treatment']"
splendid  weekend munnar tour package,weekend_package,"kochi  ,   munnar",2,short trip,2,3,budget,low-cost apartment,12350.0,"['kochi', 'munnar']","['Splendid', 'Weekend', 'Munnar', 'Tour', 'Package']"
3 nights 4 days kerala tour package,holiday_package,"kochi  ,   munnar ,   alleppey",3,medium trip,3,4,budget,budget hotel,14200.0,"['kochi', 'munnar', 'alleppey']","['3', 'Nights', '4', 'Days', 'Kerala', 'Tour', 'Package']"
"munnar tour packages for couple: kochi, munnar & thekkady",honeymoon_package,"kochi ,   munnar ,   thekkady ,   alappuzha",4,medium trip,5,6,standard,3-star hotel,23500.0,"['kochi', 'munnar', 'thekkady', 'alappuzha']","['Munnar', 'Tour', 'Packages', 'for', 'Couple', 'Kochi', 'Munnar', 'Thekkady']"
ooty munnar tour package with kodaikanal for 5 nights,holiday_package,"coimbatore  ,   ooty ,   munnar ,   kodaikanal",4,medium trip,5,6,standard,3-star hotel,25500.0,"['coimbatore', 'ooty', 'munnar', 'kodaikanal']","['Ooty', 'Munnar', 'Tour', 'Package', 'with', 'Kodaikanal', 'for', '5', 'Nights']"
kerala 9 days itinerary  - water taxi to poovar beach,beach_holiday,"kochi ,  munnar ,  thekkady ,  alleppey ,  kovalam ,   poovar",6,long trip,8,9,premium,4-star hotel,40800.0,"['kochi', 'munnar', 'thekkady', 'alleppey', 'kovalam', 'poovar']","['Kerala', '9', 'Days', 'Itinerary', 'Water', 'Taxi', 'to', 'Poovar', 'Beach']"
south india special package -  kochi to madurai,holiday_package,"kochi  ,   munnar  ,   thekkady  ,   kovalam and poovar  ,   kanyakumari  ,   rameshwaram  ,   madurai",9,long trip,8,9,premium,4-star hotel,31098.0,"['kochi', 'munnar', 'thekkady', 'kovalam', 'and', 'poovar', 'kanyakumari', 'rameshwaram', 'madurai']","['South', 'India', 'Special', 'Package', 'Kochi', 'to', 'Madurai']"
"kerala luxury tour packages - munnar, alleppey &  kovalam",luxury_package,"kochi  ,   munnar ,   alleppey ,   kovalam",4,medium trip,5,6,luxury,high-end luxury resort,50500.0,"['kochi', 'munnar', 'alleppey', 'kovalam']","['Kerala', 'Luxury', 'Tour', 'Packages', 'Munnar', 'Alleppey', 'Kovalam']"
munnar sightseeing tour package with backwater cruising,nature_package,"thrissur ,  munnar ,  kumarakom ,  alappuzha ,  kovalam",5,medium trip,6,7,standard,3-star hotel,26400.0,"['thrissur', 'munnar', 'kumarakom', 'alappuzha', 'kovalam']","['Munnar', 'Sightseeing', 'Tour', 'Package', 'with', 'Backwater', 'Cruising']"
thekkady munnar tour packages: 3 nights 4 days,holiday_package,"kochi  ,   munnar ,   thekkady",3,medium trip,3,4,budget,budget hotel,13700.0,"['kochi', 'munnar', 'thekkady']","['Thekkady', 'Munnar', 'Tour', 'Packages', '3', 'Nights', '4', 'Days']"
wonderful kerala group tour package,family_package,"calicut ,   wayanad ,   guruvayur ,   munnar ,   thekkady ,   alleppey ,   trivandrum",7,long trip,9,10,premium,4-star hotel,40999.0,"['calicut', 'wayanad', 'guruvayur', 'munnar', 'thekkady', 'alleppey', 'trivandrum']","['Wonderful', 'Kerala', 'Group', 'Tour', 'Package']"
incredible kerala honeymoon package,honeymoon_package,"kochi ,   alleppey ,   thekkady ,   periyar ,   munnar",5,long trip,7,8,premium,4-star hotel,31200.0,"['kochi', 'alleppey', 'thekkady', 'periyar', 'munnar']","['Incredible', 'Kerala', 'Honeymoon', 'Package']"
5 nights in kerala luxury tour package,luxury_package,"kochi ,   munnar ,   kumarakom",3,medium trip,5,6,premium,5-star hotel,40000.0,"['kochi', 'munnar', 'kumarakom']","['5', 'Nights', 'in', 'Kerala', 'Luxury', 'Tour', 'Package']"
kerala honeymoon special including varkala,honeymoon_package,"kochi ,  munnar ,  alleppey ,  varkala ,  trivandrum",5,medium trip,5,6,standard,3-star hotel,26400.0,"['kochi', 'munnar', 'alleppey', 'varkala', 'trivandrum']","['Kerala', 'Honeymoon', 'Special', 'Including', 'Varkala']"
kerala tour package with houseboat experience,holiday_package,"kochi  ,   munnar  ,   vagamon ,   thekkady  ,   alleppey  ,   kochi",6,medium trip,6,7,standard,3-star hotel,23550.0,"['kochi', 'munnar', 'vagamon', 'thekkady', 'alleppey', 'kochi']","['Kerala', 'Tour', 'Package', 'with', 'Houseboat', 'Experience']"
marvellous kerala tour package with athirapally falls,holiday_package,"kochi ,   athirapally ,   munnar ,   thekkady ,   kumarakom",5,medium trip,5,6,standard,3-star hotel,26900.0,"['kochi', 'athirapally', 'munnar', 'thekkady', 'kumarakom']","['Marvellous', 'Kerala', 'Tour', 'Package', 'with', 'Athirapally', 'Falls']"
delights of kerala holiday package,holiday_package,"kochi ,   munnar ,   thekkady ,   kochi",4,medium trip,6,7,standard,3-star hotel,27500.0,"['kochi', 'munnar', 'thekkady', 'kochi']","['Delights', 'of', 'Kerala', 'Holiday', 'Package']"
kerala tour packages itinerary - 6 nights 7 days,holiday_package,"kochi ,   munnar ,   thekkady ,   alleppey ,   kovalam",5,medium trip,6,7,standard,3-star hotel,27500.0,"['kochi', 'munnar', 'thekkady', 'alleppey', 'kovalam']","['Kerala', 'Tour', 'Packages', 'Itinerary', '6', 'Nights', '7', 'Days']"
cheapest kerala tour package for family - kochi and munnar,family_package,"kochi ,   munnar",2,medium trip,3,4,budget,budget hotel,13000.0,"['kochi', 'munnar']","['Cheapest', 'Kerala', 'Tour', 'Package', 'for', 'Family', 'Kochi', 'and', 'Munnar']"
7 days south india tour package,holiday_package,"kochi ,   munnar ,   thekkady ,   alleppey ,   kovalam",5,medium trip,6,7,standard,3-star hotel,29999.0,"['kochi', 'munnar', 'thekkady', 'alleppey', 'kovalam']","['7', 'Days', 'South', 'India', 'Tour', 'Package']"
munnar tour package in 7 days package with ooty,holiday_package,"coimbatore ,   ooty ,   munnar ,   thekkady ,   alleppey",5,medium trip,6,7,standard,3-star hotel,26000.0,"['coimbatore', 'ooty', 'munnar', 'thekkady', 'alleppey']","['Munnar', 'Tour', 'Package', 'in', '7', 'Days', 'Package', 'with', 'Ooty']"
best of kerala in 10 days : family tour package,family_package,"trivandrum ,   kovalam ,   varkala ,   alleppey ,   kumarakom ,   thekkady ,   munnar ,   kochi",8,long trip,9,10,luxury,5-star resort,51900.0,"['trivandrum', 'kovalam', 'varkala', 'alleppey', 'kumarakom', 'thekkady', 'munnar', 'kochi']","['Best', 'of', 'Kerala', 'in', '10', 'Days', 'Family', 'Tour', 'Package']"
